Entity,Code,Year,Renewables (% equivalent primary energy)
Colombia,COL,1974,1739551.0
Colombia,COL,1975,19235607.0
Colombia,COL,1976,19407125.0
Colombia,COL,1977,1936701.0
Colombia,COL,1978,20862885.0
Colombia,COL,1979,21545105.0
Colombia,COL,1980,23044971.0
Colombia,COL,1981,22218885.0
Colombia,COL,1982,22697723.0
Colombia,COL,1983,21790188.0
Colombia,COL,1984,23639833.0
Colombia,COL,1985,24441961.0
Colombia,COL,1986,27276325.0
Colombia,COL,1987,27310854.0
Colombia,COL,1988,28748077.0
Colombia,COL,1989,29793999.0
Colombia,COL,1990,32640934.0
Colombia,COL,1991,316998.0
Colombia,COL,1992,24605455.0
Colombia,COL,1993,27847397.0
Colombia,COL,1994,29809082.0
Colombia,COL,1995,29331577.0
Colombia,COL,1996,31475914.0
Colombia,COL,1997,27334064.0
Colombia,COL,1998,26691463.0
Colombia,COL,1999,31378248.0
Colombia,COL,2000,29556067.0
Colombia,COL,2001,30604485.0
Colombia,COL,2002,32692554.0
Colombia,COL,2003,33389133.0
Colombia,COL,2004,34505455.0
Colombia,COL,2005,3505353.0
Colombia,COL,2006,3414272.0
Colombia,COL,2007,35182762.0
Colombia,COL,2008,3394141.0
Colombia,COL,2009,31377745.0
Colombia,COL,2010,30092037.0
Colombia,COL,2011,34515675.0
Colombia,COL,2012,31746134.0
Colombia,COL,2013,29385107.0
Colombia,COL,2014,28364685.0
Colombia,COL,2015,28021618.0
Colombia,COL,2016,27708813.0
Colombia,COL,2017,3282906.0
Colombia,COL,2018,3199955.0
Colombia,COL,2019,29890343.0
Colombia,COL,2020,30772787.0
Colombia,COL,2021,3302041.0
Ecuador,ECU,1965,8505215.0
Ecuador,ECU,1966,9248206.0
Ecuador,ECU,1967,9417127.0
Ecuador,ECU,1968,8330954.0
Ecuador,ECU,1969,8701673.0
Ecuador,ECU,1970,8106536.0
Ecuador,ECU,1971,8015814.0
Ecuador,ECU,1972,7758966.0
Ecuador,ECU,1973,70862336.0
Ecuador,ECU,1974,69780536.0
Ecuador,ECU,1975,8653943.0
Ecuador,ECU,1976,757248.0
Ecuador,ECU,1977,58732605.0
Ecuador,ECU,1978,7960053.0
Ecuador,ECU,1979,6851764.0
Ecuador,ECU,1980,6642501.0
Ecuador,ECU,1981,53501143.0
Ecuador,ECU,1982,55936837.0
Ecuador,ECU,1983,10982115.0
Ecuador,ECU,1984,18537539.0
Ecuador,ECU,1985,15903298.0
Ecuador,ECU,1986,1856394.0
Ecuador,ECU,1987,2051675.0
Ecuador,ECU,1988,18759295.0
Ecuador,ECU,1989,18673532.0
Ecuador,ECU,1990,18208445.0
Ecuador,ECU,1991,16781824.0
Ecuador,ECU,1992,16528347.0
Ecuador,ECU,1993,18627613.0
Ecuador,ECU,1994,19351002.0
Ecuador,ECU,1995,16093634.0
Ecuador,ECU,1996,17381893.0
Ecuador,ECU,1997,16071613.0
Ecuador,ECU,1998,15920069.0
Ecuador,ECU,1999,19251896.0
Ecuador,ECU,2000,21613928.0
Ecuador,ECU,2001,19692354.0
Ecuador,ECU,2002,21095179.0
Ecuador,ECU,2003,19533443.0
Ecuador,ECU,2004,18734905.0
Ecuador,ECU,2005,16596605.0
Ecuador,ECU,2006,1625161.0
Ecuador,ECU,2007,19557272.0
Ecuador,ECU,2008,22617521.0
Ecuador,ECU,2009,18929243.0
Ecuador,ECU,2010,15936485.0
Ecuador,ECU,2011,19198841.0
Ecuador,ECU,2012,19840086.0
Ecuador,ECU,2013,17377462.0
Ecuador,ECU,2014,17276142.0
Ecuador,ECU,2015,19640232.0
Ecuador,ECU,2016,23628025.0
Ecuador,ECU,2017,28335857.0
Ecuador,ECU,2018,27386934.0
Ecuador,ECU,2019,3176902.0
Ecuador,ECU,2020,36035774.0
Ecuador,ECU,2021,323542.0
Mexico,MEX,1965,8934723.0
Mexico,MEX,1966,963311.0
Mexico,MEX,1967,10291331.0
Mexico,MEX,1968,10842834.0
Mexico,MEX,1969,104753.0
Mexico,MEX,1970,10981713.0
Mexico,MEX,1971,10142725.0
Mexico,MEX,1972,9780027.0
Mexico,MEX,1973,9648298.0
Mexico,MEX,1974,9094654.0
Mexico,MEX,1975,77844524.0
Mexico,MEX,1976,830845.0
Mexico,MEX,1977,8738277.0
Mexico,MEX,1978,6597964.0
Mexico,MEX,1979,67473717.0
Mexico,MEX,1980,5803558.0
Mexico,MEX,1981,75373626.0
Mexico,MEX,1982,68430967.0
Mexico,MEX,1983,6308686.0
Mexico,MEX,1984,68312964.0
Mexico,MEX,1985,782051.0
Mexico,MEX,1986,6596592.0
Mexico,MEX,1987,61185946.0
Mexico,MEX,1988,67846127.0
Mexico,MEX,1989,72933803.0
Mexico,MEX,1990,68308434.0
Mexico,MEX,1991,6324605.0
Mexico,MEX,1992,7251022.0
Mexico,MEX,1993,7209392.0
Mexico,MEX,1994,54481173.0
Mexico,MEX,1995,71109824.0
Mexico,MEX,1996,7601215.0
Mexico,MEX,1997,6423585.0
Mexico,MEX,1998,5862017.0
Mexico,MEX,1999,7305536.0
Mexico,MEX,2000,71508975.0
Mexico,MEX,2001,63393073.0
Mexico,MEX,2002,54490385.0
Mexico,MEX,2003,46524553.0
Mexico,MEX,2004,5303242.0
Mexico,MEX,2005,5473337.0
Mexico,MEX,2006,55860863.0
Mexico,MEX,2007,5209547.0
Mexico,MEX,2008,6696116.0
Mexico,MEX,2009,49565783.0
Mexico,MEX,2010,6283124.0
Mexico,MEX,2011,5886854.0
Mexico,MEX,2012,54620795.0
Mexico,MEX,2013,506007.0
Mexico,MEX,2014,6727102.0
Mexico,MEX,2015,60522633.0
Mexico,MEX,2016,61314926.0
Mexico,MEX,2017,6372722.0
Mexico,MEX,2018,6939361.0
Mexico,MEX,2019,70507708.0
Mexico,MEX,2020,9475372.0
Mexico,MEX,2021,10514754.0
Peru,PER,1965,13740327.0
Peru,PER,1966,12172948.0
Peru,PER,1967,13394147.0
Peru,PER,1968,14111241.0
Peru,PER,1969,1524189.0
Peru,PER,1970,14120807.0
Peru,PER,1971,17272398.0
Peru,PER,1972,19887009.0
Peru,PER,1973,18577597.0
Peru,PER,1974,17592985.0
Peru,PER,1975,17860975.0
Peru,PER,1976,1850168.0
Peru,PER,1977,19078714.0
Peru,PER,1978,1959224.0
Peru,PER,1979,20157331.0
Peru,PER,1980,19488487.0
Peru,PER,1981,2109335.0
Peru,PER,1982,22348915.0
Peru,PER,1983,24380442.0
Peru,PER,1984,24780766.0
Peru,PER,1985,2695251.0
Peru,PER,1986,26928583.0
Peru,PER,1987,27016397.0
Peru,PER,1988,26545847.0
Peru,PER,1989,29118135.0
Peru,PER,1990,29302029.0
Peru,PER,1991,32345062.0
Peru,PER,1992,2806741.0
Peru,PER,1993,31196318.0
Peru,PER,1994,309784.0
Peru,PER,1995,28913647.0
Peru,PER,1996,28776926.0
Peru,PER,1997,2834366.0
Peru,PER,1998,29417265.0
Peru,PER,1999,3010594.0
Peru,PER,2000,32495964.0
Peru,PER,2001,35526463.0
Peru,PER,2002,35351955.0
Peru,PER,2003,36600243.0
Peru,PER,2004,32297504.0
Peru,PER,2005,3184631.0
Peru,PER,2006,34128056.0
Peru,PER,2007,31039616.0
Peru,PER,2008,28021553.0
Peru,PER,2009,2833369.0
Peru,PER,2010,2521364.0
Peru,PER,2011,24354307.0
Peru,PER,2012,24011053.0
Peru,PER,2013,24136717.0
Peru,PER,2014,2394071.0
Peru,PER,2015,24024496.0
Peru,PER,2016,2257668.0
Peru,PER,2017,26171818.0
Peru,PER,2018,26795403.0
Peru,PER,2019,26621336.0
Peru,PER,2020,30744228.0
Peru,PER,2021,27741009.0
Venezuela,VEN,1965,21140678.0
Venezuela,VEN,1966,21339145.0
Venezuela,VEN,1967,2373532.0
Venezuela,VEN,1968,36946752.0
Venezuela,VEN,1969,4241876.0
Venezuela,VEN,1970,54061537.0
Venezuela,VEN,1971,6983937.0
Venezuela,VEN,1972,7378936.0
Venezuela,VEN,1973,6668883.0
Venezuela,VEN,1974,79816523.0
Venezuela,VEN,1975,8893406.0
Venezuela,VEN,1976,9633482.0
Venezuela,VEN,1977,9939145.0
Venezuela,VEN,1978,9782297.0
Venezuela,VEN,1979,10329237.0
Venezuela,VEN,1980,9454481.0
Venezuela,VEN,1981,9426736.0
Venezuela,VEN,1982,9688068.0
Venezuela,VEN,1983,11105163.0
Venezuela,VEN,1984,12205676.0
Venezuela,VEN,1985,13293667.0
Venezuela,VEN,1986,13745109.0
Venezuela,VEN,1987,16863821.0
Venezuela,VEN,1988,17953768.0
Venezuela,VEN,1989,18045057.0
Venezuela,VEN,1990,1811904.0
Venezuela,VEN,1991,21675652.0
Venezuela,VEN,1992,21255587.0
Venezuela,VEN,1993,2157694.0
Venezuela,VEN,1994,2146965.0
Venezuela,VEN,1995,20915274.0
Venezuela,VEN,1996,2246204.0
Venezuela,VEN,1997,22598198.0
Venezuela,VEN,1998,21551678.0
Venezuela,VEN,1999,22529488.0
Venezuela,VEN,2000,22723845.0
Venezuela,VEN,2001,20884945.0
Venezuela,VEN,2002,20203684.0
Venezuela,VEN,2003,21840666.0
Venezuela,VEN,2004,23130436.0
Venezuela,VEN,2005,24533659.0
Venezuela,VEN,2006,24401985.0
Venezuela,VEN,2007,23413424.0
Venezuela,VEN,2008,2475938.0
Venezuela,VEN,2009,24415695.0
Venezuela,VEN,2010,22484463.0
Venezuela,VEN,2011,2365197.0
Venezuela,VEN,2012,22079144.0
Venezuela,VEN,2013,21720543.0
Venezuela,VEN,2014,22182087.0
Venezuela,VEN,2015,207983.0
Venezuela,VEN,2016,19946714.0
Venezuela,VEN,2017,2193996.0
Venezuela,VEN,2018,22038906.0
Venezuela,VEN,2019,22608103.0
Venezuela,VEN,2020,30139423.0
Venezuela,VEN,2021,28434155.0
