Entity,Code,Year,Hydro (% equivalent primary energy)
Colombia,COL,1974,1739551.0
Colombia,COL,1975,18840622.0
Colombia,COL,1976,19001928.0
Colombia,COL,1977,18990406.0
Colombia,COL,1978,20485493.0
Colombia,COL,1979,21172752.0
Colombia,COL,1980,22660593.0
Colombia,COL,1981,21868048.0
Colombia,COL,1982,2233226.0
Colombia,COL,1983,21437752.0
Colombia,COL,1984,23266163.0
Colombia,COL,1985,24065804.0
Colombia,COL,1986,2691404.0
Colombia,COL,1987,26975145.0
Colombia,COL,1988,28405401.0
Colombia,COL,1989,29468533.0
Colombia,COL,1990,32293526.0
Colombia,COL,1991,31371223.0
Colombia,COL,1992,24206678.0
Colombia,COL,1993,27433828.0
Colombia,COL,1994,29369959.0
Colombia,COL,1995,28866896.0
Colombia,COL,1996,31005436.0
Colombia,COL,1997,26888634.0
Colombia,COL,1998,26202583.0
Colombia,COL,1999,30925522.0
Colombia,COL,2000,29049572.0
Colombia,COL,2001,30089293.0
Colombia,COL,2002,32179436.0
Colombia,COL,2003,3288798.0
Colombia,COL,2004,33993496.0
Colombia,COL,2005,34456627.0
Colombia,COL,2006,3324302.0
Colombia,COL,2007,34232037.0
Colombia,COL,2008,3283816.0
Colombia,COL,2009,2945687.0
Colombia,COL,2010,27661953.0
Colombia,COL,2011,31745678.0
Colombia,COL,2012,29003883.0
Colombia,COL,2013,26727686.0
Colombia,COL,2014,25514168.0
Colombia,COL,2015,25046679.0
Colombia,COL,2016,24827665.0
Colombia,COL,2017,2992104.0
Colombia,COL,2018,28828716.0
Colombia,COL,2019,26772203.0
Colombia,COL,2020,27182451.0
Colombia,COL,2021,29314417.0
Ecuador,ECU,1965,8505215.0
Ecuador,ECU,1966,9248206.0
Ecuador,ECU,1967,9417127.0
Ecuador,ECU,1968,8330954.0
Ecuador,ECU,1969,8701673.0
Ecuador,ECU,1970,8106536.0
Ecuador,ECU,1971,8015814.0
Ecuador,ECU,1972,7758966.0
Ecuador,ECU,1973,70862336.0
Ecuador,ECU,1974,69780536.0
Ecuador,ECU,1975,8653943.0
Ecuador,ECU,1976,757248.0
Ecuador,ECU,1977,58732605.0
Ecuador,ECU,1978,7960053.0
Ecuador,ECU,1979,6851764.0
Ecuador,ECU,1980,6642501.0
Ecuador,ECU,1981,53501143.0
Ecuador,ECU,1982,55936837.0
Ecuador,ECU,1983,10982115.0
Ecuador,ECU,1984,18537539.0
Ecuador,ECU,1985,15903298.0
Ecuador,ECU,1986,1856394.0
Ecuador,ECU,1987,2051675.0
Ecuador,ECU,1988,18759295.0
Ecuador,ECU,1989,18673532.0
Ecuador,ECU,1990,18208445.0
Ecuador,ECU,1991,16781824.0
Ecuador,ECU,1992,16528347.0
Ecuador,ECU,1993,18627613.0
Ecuador,ECU,1994,19351002.0
Ecuador,ECU,1995,16093634.0
Ecuador,ECU,1996,17381893.0
Ecuador,ECU,1997,16071613.0
Ecuador,ECU,1998,15920069.0
Ecuador,ECU,1999,19251896.0
Ecuador,ECU,2000,21613928.0
Ecuador,ECU,2001,19692354.0
Ecuador,ECU,2002,21095179.0
Ecuador,ECU,2003,19533443.0
Ecuador,ECU,2004,18725845.0
Ecuador,ECU,2005,16324602.0
Ecuador,ECU,2006,15887682.0
Ecuador,ECU,2007,19035067.0
Ecuador,ECU,2008,22148096.0
Ecuador,ECU,2009,18428444.0
Ecuador,ECU,2010,15445815.0
Ecuador,ECU,2011,18653755.0
Ecuador,ECU,2012,1929189.0
Ecuador,ECU,2013,16759819.0
Ecuador,ECU,2014,16461626.0
Ecuador,ECU,2015,18754915.0
Ecuador,ECU,2016,2261842.0
Ecuador,ECU,2017,27477312.0
Ecuador,ECU,2018,26571339.0
